,sitc4,exporter,value,rca
32475,658X,Areas NES,302,256.57799979501175
32520,6592,Areas NES,426,0.2490481865233775
32614,6594,Areas NES,790,0.8236682316120277
32740,6596,Areas NES,212,0.1476246602420893
32862,659X,Areas NES,68,36.01976321625579
32889,65XX,Areas NES,682,68.18393101978084
32949,6611,Areas NES,22214,96.67029996625145
33247,6623,Areas NES,318,0.11929390879596337
33519,6633,Areas NES,2278,0.503094343116368
33763,6639,Areas NES,348,0.1989032698771189
33911,6642,Areas NES,1012,0.3228936968540832
34120,6647,Areas NES,5082,1.3092945896754873
34184,6648,Areas NES,3544,1.918397782478443
34438,6652,Areas NES,1428,0.3304734163139661
34587,665X,Areas NES,164,174.98721502759028
34599,6664,Areas NES,224,0.11356771976364478
34802,666A,Areas NES,290,275.0789389121327
35090,66XX,Areas NES,760,152.41733089448843
35224,6716,Areas NES,576,0.07465658931384568
35315,671X,Areas NES,66,95.0303665224454
35325,6724,Areas NES,206,0.37973993368095366
35380,6725,Areas NES,854,0.0692603613008906
35455,6727,Areas NES,14148,0.9753730878145117
35724,6733,Areas NES,1308,0.20752962811408746
35807,673A,Areas NES,216,7.155299943208227
35838,6744,Areas NES,1586,0.15942688809734867
35911,6745,Areas NES,7960,1.6582620002927408
35981,6746,Areas NES,4552,0.25116909596197873
36127,6749,Areas NES,3446,0.19153224616340286
36216,674X,Areas NES,416,67.66437800700766
36243,6760,Areas NES,420,0.39381349408115496
36292,6770,Areas NES,228,0.05767477316285465
36425,6782,Areas NES,10076,1.4491860105373988
36503,6783,Areas NES,2190,0.24482699119431525
36592,6785,Areas NES,3568,0.6669226599568532
36681,678X,Areas NES,260,55.99961242857852
36705,6793,Areas NES,2574,1.6689415098209
36767,6794,Areas NES,338,0.17016054144326648
36839,679A,Areas NES,218,213.98779902086687
36862,67XX,Areas NES,614,145.3046435263708
36963,6812,Areas NES,19748,1.1671378359976192
37114,6822,Areas NES,11814,0.6747056865368803
37219,6831,Areas NES,2846,0.42319294088602083
37330,6841,Areas NES,3436,0.13713541890944328
37430,6842,Areas NES,9084,0.38813033211815035
37544,684X,Areas NES,166,19.644388435610924
37560,6851,Areas NES,528,0.41456500393388823
37668,6861,Areas NES,224,0.04491714403203726
37796,6871,Areas NES,694,0.4947041748909341
37894,6891,Areas NES,1952,1.1730525744256814
38036,68XX,Areas NES,240,52.61599110008639
38073,6911,Areas NES,12264,1.3632286790314005
38244,691X,Areas NES,72,11.80322555500444
38333,6924,Areas NES,3174,0.6389835325867685
38437,692X,Areas NES,58,53.936084543163936
38447,6931,Areas NES,226,0.08274955196200048
38567,6935,Areas NES,486,0.3202835212620379
38652,6940,Areas NES,11510,0.8060713454420008
38801,6953,Areas NES,2274,0.31960011001800265
38889,6954,Areas NES,7680,0.6406049851811314
38993,695X,Areas NES,432,163.93893987100088
39018,6960,Areas NES,414,0.07968280388221712
39091,6973,Areas NES,566,0.18341253789612627
39164,6974,Areas NES,646,0.11098421890044054
39392,697X,Areas NES,86,53.9416798048494
39413,6991,Areas NES,10942,0.6989058286416865
39501,6992,Areas NES,322,0.1887282080151584
39621,6994,Areas NES,1738,0.5986854505655181
39681,6996,Areas NES,1296,0.33040759673307935
39764,6997,Areas NES,9256,0.6731098650686586
39860,6998,Areas NES,5118,0.5563585751657566
39947,6999,Areas NES,460,0.1836999213867078
